[WARN ][09:22:58,301][main][ ][com.netflix.config.sources.URLConfigurationSource:121][No URLs will be polled as dynamic configuration sources.]
[INFO ][09:22:58,307][main][ ][com.netflix.config.sources.URLConfigurationSource:122][To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.]
[DEBUG][09:22:58,318][main][ ][com.netflix.hystrix.strategy.HystrixPlugins:386][Created HystrixDynamicProperties. Using class : com.netflix.hystrix.strategy.properties.archaius.HystrixDynamicPropertiesArchaius]
[INFO ][09:22:58,344][main][ ][com.netflix.config.DynamicPropertyFactory:281][DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@6d3c80bf]
[DEBUG][09:22:58,769][main][ ][io.netty.util.internal.logging.InternalLoggerFactory:43][Using SLF4J as the default logging framework]
[DEBUG][09:22:58,777][main][ ][io.lettuce.core.resource.DefaultClientResources:109][-Dio.netty.eventLoopThreads: 4]
[DEBUG][09:22:58,790][main][ ][io.lettuce.core.resource.DefaultEventLoopGroupProvider:138][Creating executor io.netty.util.concurrent.DefaultEventExecutorGroup]
[DEBUG][09:22:58,816][main][ ][io.netty.util.internal.InternalThreadLocalMap:54][-Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024]
[DEBUG][09:22:58,816][main][ ][io.netty.util.internal.InternalThreadLocalMap:57][-Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096]
[DEBUG][09:22:58,825][main][ ][io.netty.util.ResourceLeakDetector:129][-Dio.netty.leakDetection.level: simple]
[DEBUG][09:22:58,825][main][ ][io.netty.util.ResourceLeakDetector:130][-Dio.netty.leakDetection.targetRecords: 4]
[DEBUG][09:22:58,846][main][ ][io.netty.util.internal.PlatformDependent:985][Platform: Windows]
[DEBUG][09:22:58,849][main][ ][io.netty.util.internal.PlatformDependent0:395][-Dio.netty.noUnsafe: false]
[DEBUG][09:22:58,849][main][ ][io.netty.util.internal.PlatformDependent0:851][Java version: 8]
[DEBUG][09:22:58,850][main][ ][io.netty.util.internal.PlatformDependent0:120][sun.misc.Unsafe.theUnsafe: available]
[DEBUG][09:22:58,851][main][ ][io.netty.util.internal.PlatformDependent0:144][sun.misc.Unsafe.copyMemory: available]
[DEBUG][09:22:58,852][main][ ][io.netty.util.internal.PlatformDependent0:182][java.nio.Buffer.address: available]
[DEBUG][09:22:58,852][main][ ][io.netty.util.internal.PlatformDependent0:243][direct buffer constructor: available]
[DEBUG][09:22:58,853][main][ ][io.netty.util.internal.PlatformDependent0:313][java.nio.Bits.unaligned: available, true]
[DEBUG][09:22:58,854][main][ ][io.netty.util.internal.PlatformDependent0:378][jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9]
[DEBUG][09:22:58,854][main][ ][io.netty.util.internal.PlatformDependent0:385][java.nio.DirectByteBuffer.<init>(long, int): available]
[DEBUG][09:22:58,854][main][ ][io.netty.util.internal.PlatformDependent:1028][sun.misc.Unsafe: available]
